DateTime,Transaction,Product,LineItem,Amount,BalanceDetails,JourneyId,LocationDisplay,TransactonTime,OrderDate,Payment,OrderNumber,AuthCode,Total
Jan-22-2023 04:02 PM,Tap in at Bus Stop 60162,3 Zone UPass (N),,$0.00,$1.00,2023-01-23T00:02:00.0000000Z,"Tap in at Bus Stop 60162
3 Zone UPass (N)",04:02 PM,,,,,
Jan-22-2023 02:42 PM,Transfer at Bus Stop 61281,3 Zone UPass (N),,$0.00,$1.00,2023-01-22T21:38:00.0000000Z,"Transfer at Bus Stop 61281
3 Zone UPass (N)",02:42 PM,,,,,
Jan-22-2023 01:46 PM,Tap out at Oakridge-41st Stn,3 Zone UPass (N),,$0.00,$1.00,2023-01-22T21:38:00.0000000Z,"Tap out at Oakridge-41st Stn
3 Zone UPass (N)",01:46 PM,,,,,
Jan-22-2023 01:38 PM,Tap in at Broadway-City Hall Stn,3 Zone UPass (N),,$0.00,$1.00,2023-01-22T21:38:00.0000000Z,"Tap in at Broadway-City Hall Stn
3 Zone UPass (N)",01:38 PM,,,,,
Jan-21-2023 06:07 PM,Transfer at Bus Stop 58145,3 Zone UPass (N),,$0.00,$1.00,2023-01-22T01:31:00.0000000Z,"Transfer at Bus Stop 58145
3 Zone UPass (N)",06:07 PM,,,,,
Jan-21-2023 05:31 PM,Tap in at Bus Stop 61935,3 Zone UPass (N),,$0.00,$1.00,2023-01-22T01:31:00.0000000Z,"Tap in at Bus Stop 61935
3 Zone UPass (N)",05:31 PM,,,,,
Jan-20-2023 10:59 PM,Tap in at Bus Stop 50540,3 Zone UPass (N),,$0.00,$1.00,2023-01-21T06:59:00.0000000Z,"Tap in at Bus Stop 50540
3 Zone UPass (N)",10:59 PM,,,,,
Jan-20-2023 08:39 PM,Tap in at Bus Stop 61935,3 Zone UPass (N),,$0.00,$1.00,2023-01-21T04:39:00.0000000Z,"Tap in at Bus Stop 61935
3 Zone UPass (N)",08:39 PM,,,,,
Jan-20-2023 11:42 AM,Transfer at Bus Stop 50357,3 Zone UPass (N),,$0.00,$1.00,2023-01-20T19:06:00.0000000Z,"Transfer at Bus Stop 50357
3 Zone UPass (N)",11:42 AM,,,,,
Jan-20-2023 11:06 AM,Tap in at Bus Stop 61935,3 Zone UPass (N),,$0.00,$1.00,2023-01-20T19:06:00.0000000Z,"Tap in at Bus Stop 61935
3 Zone UPass (N)",11:06 AM,,,,,
Jan-18-2023 01:25 PM,Transfer at Bus Stop 61580,3 Zone UPass (N),,$0.00,$1.00,2023-01-18T21:04:00.0000000Z,"Transfer at Bus Stop 61580
3 Zone UPass (N)",01:25 PM,,,,,
Jan-18-2023 01:04 PM,Tap in at Bus Stop 51479,3 Zone UPass (N),,$0.00,$1.00,2023-01-18T21:04:00.0000000Z,"Tap in at Bus Stop 51479
3 Zone UPass (N)",01:04 PM,,,,,
Jan-18-2023 12:48 AM,Tap in at Bus Stop 50540,3 Zone UPass (N),,$0.00,$1.00,2023-01-18T08:48:00.0000000Z,"Tap in at Bus Stop 50540
3 Zone UPass (N)",12:48 AM,,,,,
Jan-17-2023 01:58 PM,Tap in at Bus Stop 61935,3 Zone UPass (N),,$0.00,$1.00,2023-01-17T21:58:00.0000000Z,"Tap in at Bus Stop 61935
3 Zone UPass (N)",01:58 PM,,,,,
Jan-16-2023 05:47 PM,Tap in at Bus Stop 60164,3 Zone UPass (N),,$0.00,$1.00,2023-01-17T01:47:00.0000000Z,"Tap in at Bus Stop 60164
3 Zone UPass (N)",05:47 PM,,,,,
Jan-16-2023 10:09 AM,Tap in at Bus Stop 61281,3 Zone UPass (N),,$0.00,$1.00,2023-01-16T18:09:00.0000000Z,"Tap in at Bus Stop 61281
3 Zone UPass (N)",10:09 AM,,,,,
Jan-15-2023 06:03 PM,Tap in at Bus Stop 60162,3 Zone UPass (N),,$0.00,$1.00,2023-01-16T02:03:00.0000000Z,"Tap in at Bus Stop 60162
3 Zone UPass (N)",06:03 PM,,,,,
Jan-14-2023 01:11 PM,Tap in at Bus Stop 60162,3 Zone UPass (N),,$0.00,$1.00,2023-01-14T21:11:00.0000000Z,"Tap in at Bus Stop 60162
3 Zone UPass (N)",01:11 PM,,,,,
Jan-13-2023 04:52 PM,Transfer at Bus Stop 61580,3 Zone UPass (N),,$0.00,$1.00,2023-01-14T00:12:00.0000000Z,"Transfer at Bus Stop 61580
3 Zone UPass (N)",04:52 PM,,,,,
Jan-13-2023 04:36 PM,Transfer at Bus Stop 51480,3 Zone UPass (N),,$0.00,$1.00,2023-01-14T00:12:00.0000000Z,"Transfer at Bus Stop 51480
3 Zone UPass (N)",04:36 PM,,,,,
Jan-13-2023 04:12 PM,Tap in at Bus Stop 61281,3 Zone UPass (N),,$0.00,$1.00,2023-01-14T00:12:00.0000000Z,"Tap in at Bus Stop 61281
3 Zone UPass (N)",04:12 PM,,,,,
Jan-13-2023 12:50 PM,Tap in at Bus Stop 60162,3 Zone UPass (N),,$0.00,$1.00,2023-01-13T20:50:00.0000000Z,"Tap in at Bus Stop 60162
3 Zone UPass (N)",12:50 PM,,,,,
Jan-11-2023 02:11 PM,Transfer at Bus Stop 61580,3 Zone UPass (N),,$0.00,$1.00,2023-01-11T21:34:00.0000000Z,"Transfer at Bus Stop 61580
3 Zone UPass (N)",02:11 PM,,,,,
Jan-11-2023 01:34 PM,Tap in at Bus Stop 60164,3 Zone UPass (N),,$0.00,$1.00,2023-01-11T21:34:00.0000000Z,"Tap in at Bus Stop 60164
3 Zone UPass (N)",01:34 PM,,,,,
Jan-11-2023 12:49 AM,Tap in at Bus Stop 50540,3 Zone UPass (N),,$0.00,$1.00,2023-01-11T08:49:00.0000000Z,"Tap in at Bus Stop 50540
3 Zone UPass (N)",12:49 AM,,,,,
Jan-10-2023 02:10 PM,Tap in at Bus Stop 61935,3 Zone UPass (N),,$0.00,$1.00,2023-01-10T22:10:00.0000000Z,"Tap in at Bus Stop 61935
3 Zone UPass (N)",02:10 PM,,,,,
Jan-08-2023 08:12 PM,Transfer at Bus Stop 51560,3 Zone UPass (N),,$0.00,$1.00,2023-01-09T03:08:00.0000000Z,"Transfer at Bus Stop 51560
3 Zone UPass (N)",08:12 PM,,,,,
Jan-08-2023 08:01 PM,Tap out at Nanaimo Stn,3 Zone UPass (N),,$0.00,$1.00,2023-01-09T03:08:00.0000000Z,"Tap out at Nanaimo Stn
3 Zone UPass (N)",08:01 PM,,,,,
Jan-08-2023 07:31 PM,Transfer at Lougheed Stn,3 Zone UPass (N),,$0.00,$1.00,2023-01-09T03:08:00.0000000Z,"Transfer at Lougheed Stn
3 Zone UPass (N)",07:31 PM,,,,,
Jan-08-2023 07:08 PM,Tap in at Bus Stop 61717,3 Zone UPass (N),,$0.00,$1.00,2023-01-09T03:08:00.0000000Z,"Tap in at Bus Stop 61717
3 Zone UPass (N)",07:08 PM,,,,,
Jan-08-2023 12:33 PM,Transfer at Bus Stop 58432,3 Zone UPass (N),,$0.00,$1.00,2023-01-08T19:13:00.0000000Z,"Transfer at Bus Stop 58432
3 Zone UPass (N)",12:33 PM,,,,,
Jan-08-2023 12:19 PM,Tap out at Lougheed Stn,3 Zone UPass (N),,$0.00,$1.00,2023-01-08T19:13:00.0000000Z,"Tap out at Lougheed Stn
3 Zone UPass (N)",12:19 PM,,,,,
Jan-08-2023 11:51 AM,Transfer at Joyce Stn,3 Zone UPass (N),,$0.00,$1.00,2023-01-08T19:13:00.0000000Z,"Transfer at Joyce Stn
3 Zone UPass (N)",11:51 AM,,,,,
Jan-08-2023 11:13 AM,Tap in at Bus Stop 60162,3 Zone UPass (N),,$0.00,$1.00,2023-01-08T19:13:00.0000000Z,"Tap in at Bus Stop 60162
3 Zone UPass (N)",11:13 AM,,,,,
Jan-07-2023 12:28 PM,Tap in at Bus Stop 61281,3 Zone UPass (N),,$0.00,$1.00,2023-01-07T20:28:00.0000000Z,"Tap in at Bus Stop 61281
3 Zone UPass (N)",12:28 PM,,,,,
Jan-06-2023 05:57 PM,Tap out at Oakridge-41st Stn,3 Zone UPass (N),,$0.00,$1.00,2023-01-07T01:10:00.0000000Z,"Tap out at Oakridge-41st Stn
3 Zone UPass (N)",05:57 PM,,,,,
Jan-06-2023 05:49 PM,Transfer at Broadway-City Hall Stn,3 Zone UPass (N),,$0.00,$1.00,2023-01-07T01:10:00.0000000Z,"Transfer at Broadway-City Hall Stn
3 Zone UPass (N)",05:49 PM,,,,,
Jan-06-2023 05:10 PM,Tap in at Bus Stop 50469,3 Zone UPass (N),,$0.00,$1.00,2023-01-07T01:10:00.0000000Z,"Tap in at Bus Stop 50469
3 Zone UPass (N)",05:10 PM,,,,,
Jan-06-2023 12:56 PM,Tap out at Oakridge-41st Stn,3 Zone UPass (N),,$0.00,$1.00,2023-01-06T20:50:00.0000000Z,"Tap out at Oakridge-41st Stn
3 Zone UPass (N)",12:56 PM,,,,,
Jan-06-2023 12:50 PM,Tap in at Broadway-City Hall Stn,3 Zone UPass (N),,$0.00,$1.00,2023-01-06T20:50:00.0000000Z,"Tap in at Broadway-City Hall Stn
3 Zone UPass (N)",12:50 PM,,,,,
Jan-06-2023 11:13 AM,Tap in at Bus Stop 50469,3 Zone UPass (N),,$0.00,$1.00,2023-01-06T19:13:00.0000000Z,"Tap in at Bus Stop 50469
3 Zone UPass (N)",11:13 AM,,,,,
Jan-05-2023 10:51 PM,Tap in at Bus Stop 60162,3 Zone UPass (N),,$0.00,$1.00,2023-01-06T06:51:00.0000000Z,"Tap in at Bus Stop 60162
3 Zone UPass (N)",10:51 PM,,,,,
Jan-05-2023 12:10 PM,Transfer at Bus Stop 50403,3 Zone UPass (N),,$0.00,$1.00,2023-01-05T19:37:00.0000000Z,"Transfer at Bus Stop 50403
3 Zone UPass (N)",12:10 PM,,,,,
Jan-05-2023 11:37 AM,Tap in at Bus Stop 50308,3 Zone UPass (N),,$0.00,$1.00,2023-01-05T19:37:00.0000000Z,"Tap in at Bus Stop 50308
3 Zone UPass (N)",11:37 AM,,,,,
Jan-04-2023 12:38 PM,Transfer at Bus Stop 51574,3 Zone UPass (N),,$0.00,$1.00,2023-01-04T20:28:00.0000000Z,"Transfer at Bus Stop 51574
3 Zone UPass (N)",12:38 PM,,,,,
Jan-04-2023 12:28 PM,Tap in at Bus Stop 50471,3 Zone UPass (N),,$0.00,$1.00,2023-01-04T20:28:00.0000000Z,"Tap in at Bus Stop 50471
3 Zone UPass (N)",12:28 PM,,,,,
Jan-04-2023 01:03 AM,Transfer at Bus Stop 60307,3 Zone UPass (N),,$0.00,$1.00,2023-01-04T08:48:00.0000000Z,"Transfer at Bus Stop 60307
3 Zone UPass (N)",01:03 AM,,,,,
Jan-04-2023 12:48 AM,Tap in at Bus Stop 60494,3 Zone UPass (N),,$0.00,$1.00,2023-01-04T08:48:00.0000000Z,"Tap in at Bus Stop 60494
3 Zone UPass (N)",12:48 AM,,,,,
Jan-03-2023 03:33 PM,Tap in at Bus Stop 60980,3 Zone UPass (N),,$0.00,$1.00,2023-01-03T23:33:00.0000000Z,"Tap in at Bus Stop 60980
3 Zone UPass (N)",03:33 PM,,,,,
Jan-03-2023 11:28 AM,Tap in at Bus Stop 50308,3 Zone UPass (N),,$0.00,$1.00,2023-01-03T19:28:00.0000000Z,"Tap in at Bus Stop 50308
3 Zone UPass (N)",11:28 AM,,,,,
Jan-02-2023 12:16 PM,Transfer at Bus Stop 51574,3 Zone UPass (N),,$0.00,$1.00,2023-01-02T20:02:00.0000000Z,"Transfer at Bus Stop 51574
3 Zone UPass (N)",12:16 PM,,,,,
Jan-02-2023 12:02 PM,Tap in at Bus Stop 50471,3 Zone UPass (N),,$0.00,$1.00,2023-01-02T20:02:00.0000000Z,"Tap in at Bus Stop 50471
3 Zone UPass (N)",12:02 PM,,,,,
